start_latitude,start_longitude,end_latitude,end_longitude,segment_end_condition,segment_type,speed_limit,weather_group,distance,heading,elevation,grade,road_incline_angle,sine_road_incline_angle,gravity,gravity_times_sine_road_incline_angle
-12.4651749,130.8429849,-12.4651486,130.8430091,max_heading_change,race,11.11111,1.0048038,3.93,0.7319562,42.0,-0.01338,-0.7665718,-0.0133788,9.7814369,-0.1308639
-12.4651486,130.8430091,-12.4651391,130.8430219,max_heading_change,race,11.11111,1.0047995,1.75,0.9208532,42.0,-0.0129995,-0.7447745,-0.0129984,9.7814369,-0.127143
-12.4651391,130.8430219,-12.465127,130.8430336,max_heading_change,race,11.11111,1.0047967,1.85,0.75667,42.0,-0.0126006,-0.721923,-0.0125996,9.7814369,-0.1232422
-12.465127,130.8430336,-12.4651086,130.843051,max_heading_change,race,11.11111,1.0047931,2.78,0.7455697,41.5,-0.0120087,-0.6880148,-0.0120078,9.7814523,-0.1174537
-12.4651086,130.843051,-12.4651031,130.8430568,max_heading_change,race,11.11111,1.0047903,0.88,0.800024,41.0,-0.0118244,-0.6774566,-0.0118236,9.7814677,-0.1156522
-12.4651031,130.8430568,-12.4650687,130.8430942,max_heading_change,race,11.11111,1.0047853,5.58,0.8152607,41.0,-0.0106783,-0.6117983,-0.0106777,9.7814677,-0.1044436
-12.4650687,130.8430942,-12.465046,130.8431206,max_heading_change,race,11.11111,1.0047781,3.82,0.848806,41.0,-0.0099184,-0.5682638,-0.0099179,9.7814677,-0.0970116
-12.465046,130.8431206,-12.4649877,130.8431952,max_heading_change,race,11.11111,1.0047674,10.37,0.8958251,41.0,-0.0079636,-0.456271,-0.0079633,9.7814677,-0.0778928
-12.4649877,130.8431952,-12.464958,130.843228,max_heading_change,race,11.11111,1.0047559,4.86,0.8230798,41.0,-0.0071041,-0.4070281,-0.0071039,9.7814677,-0.0694866
-12.464958,130.843228,-12.4649446,130.8432451,max_heading_change,race,11.11111,1.0047504,2.38,0.8944987,41.0,-0.0066963,-0.383664,-0.0066961,9.7814677,-0.0654977
-12.4649446,130.8432451,-12.4649365,130.8432546,max_heading_change,race,11.11111,1.0047475,1.37,0.8529773,41.0,-0.0064657,-0.3704522,-0.0064656,9.7814677,-0.0632431
-12.4649365,130.8432546,-12.4649253,130.8432695,max_heading_change,race,11.11111,1.004745,2.04,0.9147271,41.0,-0.0061268,-0.3510354,-0.0061267,9.7814677,-0.0599281
-12.4649253,130.8432695,-12.4649046,130.8432924,max_heading_change,race,11.11111,1.0047409,3.39,0.823935,41.0,-0.0055732,-0.3193175,-0.0055731,9.7814677,-0.0545131
-12.4649046,130.8432924,-12.464896,130.8433009,max_heading_change,race,11.11111,1.0047373,1.33,0.7676307,41.0,-0.0053637,-0.3073144,-0.0053636,9.7814677,-0.0524639
-12.464896,130.8433009,-12.4648835,130.8433133,max_heading_change,race,11.11111,1.0047347,1.94,0.7694633,41.0,-0.005063,-0.2900861,-0.0050629,9.7814677,-0.0495226
-12.4648835,130.8433133,-12.4648718,130.843326,max_heading_change,race,11.11111,1.0047318,1.9,0.8144579,41.0,-0.0047751,-0.273591,-0.004775,9.7814676,-0.0467065
-12.4648718,130.843326,-12.4648444,130.843358,max_heading_change,race,11.11111,1.0047268,4.62,0.8508829,41.0,-0.0040971,-0.2347452,-0.0040971,9.7814676,-0.0400757
-12.4648444,130.843358,-12.4648386,130.8433653,max_grade_change,race,11.11111,1.0047226,1.02,0.8877617,41.0,-0.0039519,-0.226426,-0.0039519,9.7814676,-0.0386554
-12.4648386,130.8433653,-12.4648304,130.8433764,max_heading_change,race,11.11111,1.0047207,1.51,0.9231046,40.5,-0.0037403,-0.2143024,-0.0037403,9.7814831,-0.0365857
-12.4648304,130.8433764,-12.4647994,130.8434112,max_heading_change,race,11.11111,1.0047157,5.11,0.8312305,40.0,-0.0030507,-0.1747917,-0.0030507,9.7814985,-0.0298404
-12.4647994,130.8434112,-12.4647969,130.843413,max_heading_change,race,11.11111,1.0047115,0.34,0.6127502,40.0,-0.0030064,-0.1722535,-0.0030064,9.7814985,-0.0294071
-12.4647969,130.843413,-12.4647818,130.8434266,max_heading_change,race,11.11111,1.0047095,2.24,0.7213271,40.0,-0.0027169,-0.1556665,-0.0027169,9.7814985,-0.0265754
-12.4647818,130.8434266,-12.4647761,130.8434322,max_heading_change,race,11.11111,1.0047071,0.88,0.7646287,40.0,-0.0026069,-0.149364,-0.0026069,9.7814985,-0.0254994
-12.4647761,130.8434322,-12.464757,130.8434512,max_heading_change,race,11.11111,1.0047042,2.96,0.7708421,40.0,-0.0022456,-0.1286632,-0.0022456,9.7814985,-0.0219653
-12.464757,130.8434512,-12.4647374,130.8434695,max_heading_change,race,11.11111,1.0046996,2.95,0.7392168,40.0,-0.0019005,-0.1088905,-0.0019005,9.7814985,-0.0185897
-12.4647374,130.8434695,-12.4647279,130.8434776,max_heading_change,race,11.11111,1.0046963,1.37,0.6942745,40.0,-0.0017448,-0.0999696,-0.0017448,9.7814985,-0.0170668
-12.4647279,130.8434776,-12.4647212,130.8434834,max_heading_change,race,11.11111,1.0046944,0.98,0.7017445,40.0,-0.0016362,-0.0937473,-0.0016362,9.7814984,-0.0160045
-12.4647212,130.8434834,-12.4647152,130.8434892,max_heading_change,race,11.11111,1.004693,0.92,0.7565304,40.0,-0.0015355,-0.0879776,-0.0015355,9.7814984,-0.0150195
-12.4647152,130.8434892,-12.4647027,130.8435,max_heading_change,race,11.11111,1.0046909,1.82,0.7007846,40.0,-0.0013399,-0.0767706,-0.0013399,9.7814984,-0.0131062
-12.4647027,130.8435,-12.4646954,130.8435054,max_heading_change,race,11.11111,1.0046887,1.0,0.625526,40.0,-0.0012346,-0.0707373,-0.0012346,9.7814984,-0.0120762
-12.4646954,130.8435054,-12.4646885,130.843511,max_heading_change,race,11.11111,1.0046871,0.98,0.6701366,40.0,-0.0011335,-0.0649447,-0.0011335,9.7814984,-0.0110873
-12.4646885,130.843511,-12.4646771,130.8435205,max_heading_change,race,11.11111,1.0046851,1.63,0.6830346,40.0,-0.0009682,-0.0554738,-0.0009682,9.7814984,-0.0094704
-12.4646771,130.8435205,-12.4646722,130.8435242,max_heading_change,race,11.11111,1.0046833,0.68,0.6353173,40.0,-0.0009011,-0.0516292,-0.0009011,9.7814984,-0.0088141
-12.4646722,130.8435242,-12.4646491,130.8435439,max_heading_change,race,11.11111,1.0046802,3.34,0.6943792,40.0,-0.0005805,-0.0332602,-0.0005805,9.7814984,-0.0056782
-12.4646491,130.8435439,-12.4646447,130.8435469,max_heading_change,race,11.11111,1.0046771,0.59,0.5873731,39.5,-0.0005263,-0.0301548,-0.0005263,9.7815138,-0.005148
-12.4646447,130.8435469,-12.4646422,130.8435483,max_heading_change,race,11.11111,1.0046764,0.32,0.5003859,39.0,-0.0004973,-0.0284932,-0.0004973,9.7815293,-0.0048644
-12.4646422,130.8435483,-12.4646345,130.843555,max_heading_change,race,11.11111,1.0046753,1.12,0.7042753,39.0,-0.0003953,-0.022649,-0.0003953,9.7815293,-0.0038666
-12.4646345,130.843555,-12.4646097,130.843577,max_heading_change,race,11.11111,1.0046716,3.65,0.7138222,39.0,-7.93e-05,-0.0045436,-7.93e-05,9.7815293,-0.0007757
-12.4646097,130.843577,-12.4645801,130.8436006,max_heading_change,race,11.11111,1.0046656,4.17,0.6614972,39.0,0.0002526,0.0144729,0.0002526,9.7815293,0.0024708
-12.4645801,130.8436006,-12.4645713,130.8436076,max_heading_change,race,11.11111,1.0046614,1.24,0.6603802,39.0,0.0003454,0.01979,0.0003454,9.7815293,0.0033785
-12.4645713,130.8436076,-12.4645459,130.8436297,max_heading_change,race,11.11111,1.0046575,3.71,0.7042404,39.0,0.0006074,0.0348015,0.0006074,9.7815292,0.0059413
-12.4645459,130.8436297,-12.4645279,130.8436458,max_heading_change,race,11.11111,1.0046526,2.66,0.7179063,39.0,0.0007804,0.0447136,0.0007804,9.7815292,0.0076335
-12.4645279,130.8436458,-12.4644699,130.8437017,max_heading_change,race,11.11111,1.0046438,8.86,0.7550469,39.0,0.0012691,0.072714,0.0012691,9.7815292,0.0124137
-12.4644699,130.8437017,-12.4644533,130.8437161,max_grade_change,race,11.11111,1.0046351,2.42,0.7027568,39.0,0.0013792,0.0790223,0.0013792,9.7815292,0.0134907
-12.4644533,130.8437161,-12.4644204,130.8437544,max_heading_change,race,11.11111,1.0046291,5.54,0.8492947,39.0,0.0015938,0.0913179,0.0015938,9.7815292,0.0155898
-12.4644204,130.8437544,-12.464379,130.843808,max_grade_change,race,11.11111,1.0046195,7.42,0.9015498,39.0,0.0018002,0.1031438,0.0018002,9.7815292,0.0176087
-12.464379,130.843808,-12.4643259,130.843869,max_heading_change,race,11.11111,1.0046074,8.87,0.8426973,39.0,0.0019248,0.1102828,0.0019248,9.7815292,0.0188275
-12.4643259,130.843869,-12.4642882,130.8439077,max_heading_change,race,11.11111,1.0045962,5.94,0.7865675,39.0,0.0019353,0.1108844,0.0019353,9.7815291,0.0189302
-12.4642882,130.8439077,-12.4637933,130.8443933,speed_limit_change,race,11.11111,1.004534,76.21,0.7640004,38.0,-0.0024121,-0.1382029,-0.0024121,9.7815599,-0.0235941
-12.4637933,130.8443933,-12.4637176,130.8444751,max_heading_change,race,13.88889,1.0044676,12.24,0.8122064,36.5,-0.0037044,-0.2122455,-0.0037044,9.7816061,-0.036235
-12.4637176,130.8444751,-12.4637121,130.8444811,max_heading_change,race,13.88889,1.0044578,0.89,0.8169537,36.0,-0.0038031,-0.2179005,-0.0038031,9.7816215,-0.0372005
-12.4637121,130.8444811,-12.4637008,130.8444911,traffic_light,race,13.88889,1.0044559,1.66,0.7126179,36.0,-0.0039879,-0.2284886,-0.0039879,9.7816215,-0.0390081
-12.4637008,130.8444911,-12.4636844,130.8445078,max_heading_change,race,13.88889,1.0044527,2.57,0.7825358,36.0,-0.0042779,-0.2451041,-0.0042779,9.7816215,-0.0418448
-12.4636844,130.8445078,-12.4636742,130.8445171,max_heading_change,race,13.88889,1.0044497,1.52,0.7274183,36.0,-0.0044511,-0.2550276,-0.0044511,9.7816215,-0.043539
-12.4636742,130.8445171,-12.4636662,130.8445239,max_heading_change,race,13.88889,1.0044477,1.16,0.6927561,36.0,-0.0045837,-0.2626248,-0.0045837,9.7816215,-0.044836
-12.4636662,130.8445239,-12.4636404,130.8445609,max_heading_change,race,13.88889,1.0044433,4.94,0.9506459,36.0,-0.0051781,-0.2966806,-0.005178,9.7816215,-0.0506492
-12.4636404,130.8445609,-12.4636328,130.8445673,max_heading_change,race,13.88889,1.004439,1.09,0.6881659,36.0,-0.0053078,-0.3041117,-0.0053077,9.7816215,-0.0519179
-12.4636328,130.8445673,-12.463624,130.8445769,max_heading_change,race,13.88889,1.0044371,1.43,0.8169537,36.0,-0.0054784,-0.3138861,-0.0054783,9.7816215,-0.0535867
-12.463624,130.8445769,-12.4634109,130.844802,max_grade_change,race,13.88889,1.0044108,34.04,0.8008618,36.0,-0.0098036,-0.5616869,-0.0098031,9.7816214,-0.0958902
-12.4634109,130.844802,-12.463107,130.8451223,speed_limit_change,race,13.88889,1.0043501,48.49,0.7997448,35.0,-0.0167007,-0.9567907,-0.0166984,9.7816522,-0.1633379
-12.463107,130.8451223,-12.4623999,130.8458431,max_grade_change,race,16.66667,1.0042337,110.94,0.7830769,28.5,-0.0335436,-1.9211864,-0.0335247,9.7818526,-0.3279337
-12.4623999,130.8458431,-12.4622976,130.8459456,traffic_light,race,16.66667,1.0041421,15.91,0.7744549,22.5,-0.0352356,-2.0180163,-0.0352137,9.7820376,-0.3444617
-12.4622976,130.8459456,-12.4622768,130.8459658,max_grade_change,race,16.66667,1.0041284,3.19,0.7588517,22.0,-0.035534,-2.035092,-0.0355116,9.782053,-0.3473764
-12.4622768,130.8459658,-12.4597309,130.8469796,max_length,race,16.66667,1.0039129,303.74,0.3708476,18.0,-0.0216007,-1.2374365,-0.0215957,9.782176,-0.2112529
-12.4597309,130.8469796,-12.4569227,130.8461685,speed_limit_change,race,16.66667,1.003567,324.44,-0.2748894,12.5,-0.0088951,-0.5096382,-0.0088947,9.7823447,-0.087011
-12.4569227,130.8461685,-12.4546634,130.8460484,max_length,race,22.22222,1.003311,251.56,-0.0518537,11.0,-0.0034705,-0.1988442,-0.0034705,9.78239,-0.0339498
-12.4546634,130.8460484,-12.4526376,130.8475351,traffic_light,race,22.22222,1.0030191,277.13,0.621791,10.5,0.0026449,0.1515413,0.0026449,9.7824046,0.0258735
-12.4526376,130.8475351,-12.449382,130.8487907,max_length,race,22.22222,1.0026396,386.83,0.3601836,7.5,-0.0020407,-0.1169233,-0.0020407,9.7824962,-0.0199631
-12.449382,130.8487907,-12.446754,130.8493189,traffic_light,race,22.22222,1.0023,297.8,0.1938014,8.0,0.0042476,0.2433681,0.0042476,9.7824796,0.0415521
-12.446754,130.8493189,-12.446674,130.8493257,max_heading_change,race,22.22222,1.0021651,8.93,0.0828159,11.0,0.0042491,0.243454,0.0042491,9.7823865,0.0415663
-12.446674,130.8493257,-12.4466627,130.8493266,max_heading_change,race,22.22222,1.0021611,1.26,0.0776148,11.0,0.0042492,0.2434598,0.0042492,9.7823865,0.0415673
-12.4466627,130.8493266,-12.4466413,130.8493292,max_heading_change,race,22.22222,1.0021596,2.4,0.118089,11.0,0.0042493,0.2434655,0.0042493,9.7823865,0.0415683
-12.4466413,130.8493292,-12.4423672,130.8491862,max_length,race,22.22222,1.0019968,475.51,-0.0326551,13.5,-0.0050199,-0.2876167,-0.0050198,9.7823086,-0.0491052
-12.4423672,130.8491862,-12.438446,130.8502677,traffic_light,race,22.22222,1.0016807,451.56,0.2630909,13.0,0.0172157,0.9862895,0.0172131,9.7823224,0.1683841
-12.438446,130.8502677,-12.4382336,130.8504279,max_heading_change,race,22.22222,1.0015131,29.33,0.6348286,10.5,0.0175505,1.0054664,0.0175478,9.7823988,0.1716596
-12.4382336,130.8504279,-12.4382139,130.850441,max_heading_change,race,22.22222,1.0015003,2.61,0.5759237,11.0,0.0175798,1.0071446,0.0175771,9.7823833,0.1719459
-12.4382139,130.850441,-12.4382011,130.8504521,max_heading_change,race,22.22222,1.0014985,1.87,0.7026521,11.0,0.0176033,1.0084906,0.0176006,9.7823833,0.1721758
-12.4382011,130.8504521,-12.4381955,130.8504562,max_heading_change,race,22.22222,1.0014974,0.77,0.6206914,11.0,0.0176124,1.0090119,0.0176097,9.7823833,0.1722648
-12.4381955,130.8504562,-12.4363014,130.852319,max_length,race,22.22222,1.0013792,292.01,0.7652047,19.5,0.0413711,2.3690385,0.0413357,9.7821206,0.4043508
-12.4363014,130.852319,-12.4343099,130.8566716,max_length,race,22.22222,1.0010769,521.94,1.1326489,22.5,-0.0130393,-0.7470545,-0.0130382,9.7820273,-0.12754
-12.4343099,130.8566716,-12.4330422,130.860135,traffic_light,race,22.22222,1.0007822,401.63,1.2121835,12.5,-0.0163346,-0.9358204,-0.0163324,9.7823353,-0.159769
-12.4330422,130.860135,-12.432729,130.8629076,speed_limit_change,race,22.22222,1.0006011,303.08,1.4556395,7.5,-0.0017111,-0.0980387,-0.0017111,9.7824893,-0.0167388
-12.432729,130.8629076,-12.4327134,130.8663027,max_length,race,27.77778,1.0004717,368.67,1.5661014,7.5,0.0007743,0.0443641,0.0007743,9.7824893,0.0075746
-12.4327134,130.8663027,-12.4326989,130.870014,max_length,race,27.77778,1.0003605,403.0,1.5667995,11.0,0.0192238,1.101307,0.0192202,9.7823812,0.1880193
-12.4326989,130.870014,-12.4326821,130.8737113,traffic_light,race,27.77778,1.0002804,401.48,1.5661538,16.5,0.0069668,0.3991618,0.0069666,9.7822115,0.0681488
-12.4326821,130.8737113,-12.4326641,130.8785697,max_length,race,27.77778,1.000234,527.56,1.567009,22.0,0.0073283,0.4198731,0.0073281,9.7820418,0.0716838
-12.4326641,130.8785697,-12.4326454,130.8837757,max_length,race,27.77778,1.000243,565.31,1.5671311,20.0,-0.0113822,-0.6521239,-0.0113815,9.7821035,-0.111335
-12.4326454,130.8837757,-12.4326315,130.8888402,max_length,race,27.77778,1.0003239,549.94,1.5680038,15.0,0.0063237,0.3623165,0.0063236,9.7822578,0.0618591
-12.4326315,130.8888402,-12.4333265,130.8936034,max_length,race,27.77778,1.0004831,522.96,1.7191144,20.0,0.0074221,0.4252472,0.0074219,9.7821036,0.0726018
-12.4333265,130.8936034,-12.4346159,130.896185,max_heading_change,race,27.77778,1.0006765,314.86,2.0435711,22.0,-0.0324959,-1.861223,-0.0324788,9.7820423,-0.317709
-12.4346159,130.896185,-12.4346418,130.8962177,max_heading_change,race,27.77778,1.0007687,4.57,2.2522601,19.0,-0.032504,-1.8616866,-0.0324868,9.7821351,-0.3177903
-12.4346418,130.8962177,-12.4346435,130.8962196,max_heading_change,race,27.77778,1.0007702,0.28,2.3125089,19.0,-0.0325045,-1.8617152,-0.0324873,9.7821351,-0.3177952
-12.4346435,130.8962196,-12.4346573,130.8962386,max_heading_change,race,27.77778,1.0007711,2.57,2.2103024,19.0,-0.0325085,-1.8619441,-0.0324913,9.7821351,-0.3178343
-12.4346573,130.8962386,-12.4346595,130.8962418,max_heading_change,race,27.77778,1.000772,0.42,2.1842097,19.0,-0.0325091,-1.8619785,-0.0324919,9.7821351,-0.3178402
-12.4346595,130.8962418,-12.4351149,130.8969118,traffic_light,race,27.77778,1.0007995,88.64,2.1788516,18.5,-0.0324673,-1.859586,-0.0324502,9.7821506,-0.3174327
-12.4351149,130.8969118,-12.4368529,130.8991948,max_length,race,27.77778,1.0009307,314.33,2.2329568,14.5,0.0026551,0.1521257,0.0026551,9.7822745,0.0259729
-12.4368529,130.8991948,-12.4388519,130.9024576,max_length,race,27.77778,1.0011947,418.25,2.1311168,22.0,0.0295613,1.6932446,0.0295484,9.7820437,0.2890437
-12.4388519,130.9024576,-12.4399563,130.9066874,max_grade_change,race,27.77778,1.0015463,475.42,1.8320721,36.5,0.0098772,0.5659035,0.0098767,9.7815968,0.0966099
-12.4399563,130.9066874,-12.4402038,130.9079716,max_grade_change,race,27.77778,1.0018073,142.13,1.7656623,37.5,-0.0006194,-0.035489,-0.0006194,9.7815662,-0.0060587
-12.4402038,130.9079716,-12.4428694,130.9140301,max_length,race,27.77778,1.0022304,721.54,1.9941259,24.5,-0.0161134,-0.9231499,-0.0161113,9.781968,-0.1576002
-12.4428694,130.9140301,-12.4454066,130.9167925,max_length,race,27.77778,1.0028692,411.78,2.3255814,13.5,-0.0007828,-0.0448511,-0.0007828,9.7823084,-0.0076576
-12.4454066,130.9167925,-12.4482169,130.9188484,max_length,race,27.77778,1.0033628,384.04,2.5213026,14.5,-0.0018309,-0.1049027,-0.0018309,9.7822786,-0.0179104
-12.4482169,130.9188484,-12.4499047,130.9211605,max_length,race,27.77778,1.0038323,313.44,2.2127459,14.0,-0.0001426,-0.0081704,-0.0001426,9.7822949,-0.001395
-12.4499047,130.9211605,-12.4501542,130.9233287,traffic_light,race,27.77778,1.0042118,237.05,1.6880999,12.0,-0.0029342,-0.1681168,-0.0029342,9.7823569,-0.0287034
-12.4501542,130.9233287,-12.4501715,130.9253114,max_length,race,27.77778,1.0045018,215.29,1.5797324,14.0,0.0108504,0.6216577,0.0108498,9.7822953,0.1061359
-12.4501715,130.9253114,-12.4509972,130.9296195,max_length,race,27.77778,1.0049892,476.7,1.7646151,20.0,0.0121791,0.6977765,0.0121782,9.7821103,0.1191285
-12.4509972,130.9296195,-12.4523138,130.9337481,max_length,race,27.77778,1.0057473,471.58,1.8864566,25.0,0.0028103,0.1610179,0.0028103,9.7819564,0.0274902
-12.4523138,130.9337481,-12.453633,130.9378784,max_length,race,27.77778,1.0065799,471.84,1.8869278,21.0,-0.0199097,-1.1405911,-0.0199058,9.7820803,-0.1947201
-12.453633,130.9378784,-12.4552185,130.9418803,max_length,race,27.77778,1.0074797,468.92,1.9562523,14.0,-0.0011756,-0.0673569,-0.0011756,9.7822969,-0.0115001
-12.4552185,130.9418803,-12.4570794,130.9460395,traffic_light,race,27.77778,1.0084811,496.75,2.0004615,13.5,0.0008857,0.0507469,0.0008857,9.782313,0.0086642
-12.4570794,130.9460395,-12.4588358,130.9499559,max_length,race,27.77778,1.0095537,467.94,2.0013516,16.5,0.0012979,0.0743642,0.0012979,9.7822211,0.0126963
-12.4588358,130.9499559,-12.4612219,130.9538831,max_length,race,27.77778,1.0107091,502.21,2.1274167,16.5,0.0039907,0.2286491,0.0039907,9.7822219,0.0390379
-12.4612219,130.9538831,-12.4633897,130.9580273,max_length,race,27.77778,1.0119967,510.46,2.0626127,17.5,0.0069263,0.3968414,0.0069261,9.7821919,0.0677524
-12.4633897,130.9580273,-12.4642987,130.9626126,max_length,race,27.77778,1.0133207,508.0,1.7711078,26.0,0.0136416,0.7815576,0.0136403,9.7819302,0.1334285
-12.4642987,130.9626126,-12.4640691,130.9670494,max_length,race,27.77778,1.0145473,482.4,1.5178605,35.0,0.006083,0.3485259,0.0060829,9.7816525,0.0595008
-12.4640691,130.9670494,-12.4642092,130.9716987,max_length,race,27.77778,1.0157786,505.03,1.6016537,31.5,-0.0093211,-0.5340442,-0.0093207,9.7817605,-0.0911729
-12.4642092,130.9716987,-12.4651329,130.975871,max_length,race,27.77778,1.0171376,464.5,1.7937621,29.0,0.0047263,0.270795,0.0047262,9.7818379,0.0462309
-12.4651329,130.975871,-12.4674755,130.9797434,max_length,race,27.77778,1.0186491,494.59,2.1254794,33.0,0.0078657,0.4506621,0.0078655,9.7817151,0.0769381
-12.4674755,130.9797434,-12.4695308,130.9834244,max_length,race,27.77778,1.0202652,460.38,2.0902587,33.5,0.006381,0.3655994,0.0063809,9.7817005,0.0624161
-12.4695308,130.9834244,-12.470438,130.9873392,max_length,race,27.77778,1.0218096,436.84,1.8038327,36.5,0.0075366,0.4318072,0.0075364,9.7816085,0.0737181
-12.470438,130.9873392,-12.4712788,130.9911599,max_length,race,27.77778,1.0233051,425.22,1.792488,38.5,0.0058065,0.3326842,0.0058064,9.7815471,0.0567956
-12.4712788,130.9911599,-12.4727095,130.9951362,traffic_light,race,27.77778,1.0249234,460.09,1.923859,41.5,0.007141,0.4091422,0.0071408,9.7814549,0.0698474
-12.4727095,130.9951362,-12.4741794,130.9973445,max_heading_change,race,27.77778,1.0263765,290.17,2.1691476,45.5,-0.0031167,-0.1785732,-0.0031167,9.781332,-0.0304855
-12.4741794,130.9973445,-12.4741867,130.9973531,max_heading_change,race,27.77778,1.0269604,1.24,2.2864162,46.0,-0.0031287,-0.1792607,-0.0031287,9.7813169,-0.0306028
-12.4741867,130.9973531,-12.4749905,130.9982759,max_length,race,27.77778,1.0272309,134.26,2.2992269,45.5,-0.0051865,-0.2971619,-0.0051864,9.7813325,-0.0507299
-12.4749905,130.9982759,-12.4791564,131.002223,max_length,race,27.77778,1.0287642,631.05,2.3950804,36.0,-0.0168242,-0.9638647,-0.0168218,9.7816266,-0.1645446
-12.4791564,131.002223,-12.4833118,131.0066452,max_length,race,27.77778,1.0314958,666.33,2.3370482,27.5,-0.0064288,-0.368338,-0.0064287,9.7818905,-0.0628848
-12.4833118,131.0066452,-12.4880736,131.0103435,max_length,race,27.77778,1.0344228,664.5,2.4928189,33.5,0.0157177,0.9004837,0.0157158,9.781707,0.1537274
-12.4880736,131.0103435,-12.4939614,131.0118247,max_length,race,27.77778,1.0371729,674.15,2.9007547,41.0,0.0043666,0.2501862,0.0043666,9.7814776,0.0427118
-12.4939614,131.0118247,-12.4980098,131.0139557,traffic_light,race,27.77778,1.0396317,506.13,2.6668806,44.0,0.0085451,0.4895862,0.0085448,9.7813869,0.08358
-12.4980098,131.0139557,-12.4981594,131.0140371,max_heading_change,race,27.77778,1.0408646,18.84,2.6532844,45.0,0.0086192,0.4938316,0.0086189,9.7813568,0.0843045
-12.4981594,131.0140371,-12.4981718,131.0140442,max_heading_change,race,27.77778,1.0409135,1.58,2.6318518,44.5,0.0086245,0.4941352,0.0086242,9.7813723,0.0843565
-12.4981718,131.0140442,-12.5009057,131.0155877,max_length,race,27.77778,1.0417595,347.12,2.6378383,44.0,0.0065439,0.3749325,0.0065438,9.7813883,0.0640074
-12.5009057,131.0155877,-12.506281,131.0186753,max_length,race,27.77778,1.0443452,685.27,2.6305079,42.0,-0.0071676,-0.4106662,-0.0071674,9.7814515,-0.0701076
-12.506281,131.0186753,-12.5115529,131.0219336,max_length,race,27.77778,1.0479774,684.65,2.5986905,32.0,-0.0193989,-1.1113357,-0.0193953,9.7817621,-0.1897202
-12.5115529,131.0219336,-12.5149625,131.0270362,max_length,race,27.77778,1.0518612,671.23,2.1710325,23.5,0.0017571,0.1006743,0.0017571,9.7820261,0.017188
-12.5149625,131.0270362,-12.5171116,131.0329039,max_length,race,27.77778,1.0558473,680.31,1.9297233,32.5,0.0178639,1.0234172,0.0178611,9.7817494,0.1747128
-12.5171116,131.0329039,-12.5203418,131.0375245,speed_limit_change,race,27.77778,1.0598186,616.92,2.1922557,43.5,0.0063856,0.365863,0.0063855,9.781411,0.0624592
-12.5203418,131.0375245,-12.5207841,131.0381552,speed_limit_change,race,30.55556,1.0621047,84.3,2.1937392,45.0,0.0050172,0.287462,0.0050171,9.7813654,0.0490741
